"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","34.94","26.72","32.38","38.69","36.63","37.02","34.04","34.71","37.35","37.77","47.76","46.37","44.66","43.54","37.85","40.16","43.98","59.12","65.52","78.78","72.3","70.28","72.99","71.92","84.57","85.06","85.22","85.24","73.94","77.26","92.78","81.59","93.28","93.75","83.93","81.03","79.59","78.94","88.96","89.76","94.45","85.31","97.51","98.26","100.72","101.02","91.41","92.46","85.27","39.11","59.36","53.86","50.86","50.87","34.33","32.64","",
"Australia","AUS","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","51.5","56.51","59.19","61.5","62.53","60.89","60.81","61.88","64.43","69.75","71.18","75.88","74.52","66.57","72.64","78.74","79.72","82.69","80.07","73.29","71.66","72.71","73.49","69.44","71.65","75.32","79.78","81.33","79.9","86.42","88.16","87.79","89.94","92.22","91.75","92.82","97.47","99.28","103.69","104.21","106.89","105.65","100.99","97.32","101.47","101.21","104.36","101.22","100.65","97.97","98.16","99.98","106.09","106.12","105.98","102.02","",
"Austria","AUT","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","65.99","68.99","70.15","70.2","69.98","68.91","73.75","75.6","75.57","75.8","76.9","75.98","76.94","80.26","81.44","83.46","83.97","84.87","88.72","89.22","89.45","90.81","91.82","94.48","93.38","94.7","94.3","94.34","92.87","94.01","95.88","99.51","97.37","104.6","97.31","102.12","102.71","103.06","103.31","101.25","104.85","104.38","98.77","98.26","100.68","101.06","104.18","105.06","106.51","108.84","105.51","105.55","106.51","106.48","107.18","108.27","",
"Azerbaijan","AZE","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.26","68.48","64.04","61.58","62.57","69.63","74.69","77.97","80.62","83.43","87.4","92.31","93.69","100.73","105.58","111.26","115.17","144.62","156.49","160.31","169.34","174.84","175.45","178.35","182.41","",
"Burundi","BDI","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","55.2","56.53","56.96","59.24","64.01","66.4","70.73","73.8","83.04","83.83","86.31","92.87","96.69","98.41","105.51","119.67","110.29","110.95","109.77","105.59","91.81","93.89","98.01","99.92","95.18","109.54","110.75","118.95","118.8","101.8","114.36","110.54","110.41","104.21","88.43","83.49","78.52","83.35","97.7","89.41","85.96","84.7","85.95","80.84","100.51","118.65","114.38","110.02","117.25","118.85","129.48","140.48","126.65","136.78","136.6","140.58","",
"Belgium","BEL","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.12","105.16","107.19","103.24","103.75","98.85","97.41","98.07","93.13","95.58","100.32","104.23","102.91","105.36","79.32","82.02","81.32","",
"Benin","BEN","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","25.56","26.82","29.79","31.78","32.74","34.47","36.33","37.09","39.03","39.66","39.94","41.82","42.45","45.51","48.96","50.68","50.64","53.06","54.8","58.48","59.88","63.68","70.51","75","80.13","70.14","68.35","64.52","61.38","62.76","69.55","71.52","72.48","77.69","74.02","77.96","78.67","82.97","81.89","81.45","86.35","90.33","89.69","97.41","100.57","102.02","104.87","103.16","111.81","119.56","127.27","129.95","132.87","133.91","135.42","136.32","",
"Burkina Faso","BFA","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","20.84","21.69","22.19","23.53","27.01","25.24","25.74","26.13","27.07","27.75","29.37","26.26","21.09","19.96","22.6","21.51","21.88","24.16","26.29","25.72","25.85","27.13","29.97","30.63","34.09","35.41","36.66","37.39","39.81","55.23","57.2","57.95","60.06","64.81","65.25","67.07","68.76","70.2","71.87","75.63","81.05","81.21","94.34","97.8","100.99","101.22","102.78","103.78","105.65","107.15","109.95","110.32","85.14","83.24","84.66","84.19","",
"Bangladesh","BGD","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","37.11","38.82","40.19","41.85","42.84","43.42","44.69","45.99","47.6","49.11","49.05","49.16","48.64","49.67","50.72","53.14","53.83","62.13","64.32","46.8","47.95","49.42","50.87","50.89","55.25","57.17","58.84","61.3","62.22","65.81","61.23","63.32","66.19","69.79","72.56","75.83","80.54","80.06","82.19","84.31","86.28","90.14","93.56","95.83","101.1","103.07","105.65","108.92","108.57","114.33","117.92","122.66","124.46","130.29","135.27","135.88","",
"Bulgaria","BGR","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","114.76","118.05","115.96","125.65","141.89","151.93","160.39","167.08","159.25","157.52","165.96","173.16","175.64","177.04","189.93","203.46","204.97","212.42","227.98","229.22","233.98","241.71","249.71","255.03","252.7","260.24","258.59","260.31","260.57","250.19","211.76","207.3","176.73","152.75","151.77","157.7","145.53","152.07","157.62","153.75","145.67","108.21","92.53","98.37","99.14","102.49","97.24","95.22","94.33","90.28","88.77","90.27","89.02","86.18","84.39","84.39","",
"Bahrain","BHR","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","25.33","26.03","25.91","25.53","30.4","29.41","30.86","26.86","31.5","33.81","29.84","34.37","39.91","40.93","61.4","68.35","73.46","84.61","102.39","130.14","89.57","135.51","117.9","146.32","170.62","131.01","198.66","130.95","147.03","141.69","149.03","166.52","150.79","149.12","138.97","131.53","128.38","127.15","137.89","142.7","102.09","128.18","110.18","81.59","100.9","117.5","122.37","116.2","159.83","136.57","260.87","264.22","364.65","364.86","361.31","359.72","",
"Bahamas, The","BHS","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","29.02","29.85","31.67","34.02","37.81","41.72","42.34","42.98","35.59","32.69","34.72","33.51","73.73","80.61","75.52","85.73","56.24","46.38","37.67","37.1","53.39","47.8","46.38","48.98","52.47","50.22","58.58","59.46","64.89","64.67","54.1","60.91","59.15","51.22","88.93","118.52","97.59","147.17","144.99","81.05","83.98","84.71","98.51","99.3","100.47","100.23","99.35","100.51","106.32","108.09","112.82","111.85","114.14","111.01","110.89","110.85","",
"Bosnia and Herzegovina","BIH","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.67","91.85","77.98","67.91","45.03","61.06","77.96","72.4","76.65","72","72.52","77.41","89.96","101.19","108.84","118.71","126.31","125.56","128.65","129.81","132.58","119.2","118.19","121.42","119.68","",
"Belarus","BLR","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122.67","113.67","107.34","93.82","92.02","91.99","98.84","90.32","82.26","87.26","84.68","82.57","90.1","101.39","108.51","111.51","114.64","129.16","129.62","134.53","143.1","143.23","143.27","147.04","147.85","",
"Belize","BLZ","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","13.83","14.28","15.26","15.45","16.87","17.45","18.36","18.86","15.72","16.93","21.14","21.54","26.81","25.02","23.95","28.88","28.72","28.58","31.09","33.05","34.33","34.14","44.27","45.91","46.17","49.43","50.95","52.39","33.13","52.14","52.71","57.97","56.25","55.8","55.61","58.25","60.48","58.64","63.51","64.46","76.98","98.8","100.75","105.38","97.89","96.73","93.98","91.62","94.56","97.53","97.55","102.97","113.89","114.29","115.82","118.05","",
"Bermuda","BMU","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","173.88","184.63","198.22","211.74","196.28","218.34","224.86","204.45","177.98","171.56","173.21","138.04","110.76","92.92","96.34","94.42","89.94","90.78","97.09","109.08","110.46","112.3","115.61","110.7","109.3","103.87","112.6","113.29","117.58","131.95","124.16","114.26","112.59","104.53","95.75","93.59","97.13","101.3","101.72","102.72","103.75","107.48","105.82","99.9","97.95","102.15","104.98","112.49","110.24","104.41","106.17","108.31","108.98","109.06","111.63","111.07","",
"Bolivia","BOL","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","19.99","20.57","20.9","20.85","21.52","22.66","23.1","23.38","24.32","28.08","28.79","32.06","33.01","33.82","36.12","37.62","39.33","40.03","42.32","49.1","47.67","47.95","49.42","47.03","49.87","48.09","50.3","54.36","56.88","64.91","61.51","58.86","60.55","65.46","69.2","71.34","73.52","77.22","79.1","80.12","80.75","86.45","88.52","92.02","97.64","110.35","125.48","129.54","117.4","126.86","127.94","132.06","134.14","134.72","136.05","135.44","",
"Brazil","BRA","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","13.67","13.97","14.12","15.15","16.01","16.11","16.48","17.99","18.87","19.32","19.22","20.93","21.91","21.87","23.46","25.41","25.66","27.01","28.68","31.9","32.92","33.3","34.36","35","36.08","37.72","40.41","42.82","44.19","44.88","49.03","51.65","53.47","56.53","62.21","66.49","67.04","68.44","74.18","77.62","80.41","85.71","89.6","96.3","100.89","102.81","107.66","111.44","111.31","116.56","118.8","121.38","127.45","128.25","127.94","127","",
"Barbados","BRB","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","24.02","23.84","25.56","26.54","25.89","26.77","27.23","28.3","32.24","35.19","39.65","42.35","46.8","51.9","51.99","55.3","59.3","68","69.27","72.78","76.1","79.08","72.96","74.28","71.5","76.1","82.97","85.41","98.57","97.96","95.79","83.7","80.65","84.91","89.85","96.2","89.19","88.39","92.3","85.42","87.61","83.16","90.66","97.18","103.33","99.49","104.71","101.92","103.18","102.21","103.03","107.71","107.7","105.86","106.22","110.82","",
"Brunei Darussalam","BRN","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","8.17","13.9","12.72","10.36","8.16","8.79","8.52","9.71","11.13","12.41","14.04","11","12.09","18.55","15.34","17.24","18.76","16.4","18.24","24.34","27.19","30.13","31.11","33.23","53.47","39.41","27.54","22.09","27.85","20.03","24","37.55","36.87","39.76","39.7","31.62","46.18","56.6","72.39","82.14","97.18","110.49","106.8","100.56","69.37","130.07","137.43","141.94","142.01","149.39","161.37","166.49","182.62","183.14","187.53","187.03","",
"Bhutan","BTN","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","14.79","15.82","16.77","17.23","17.68","17.94","18.46","18.81","19.39","19.89","20.34","20.83","21.22","21.85","22.48","23.19","23.71","24.33","24.71","25.62","26.25","27.11","28.15","29.16","30.17","29.51","30.42","30.69","31.91","34.05","98.15","92.92","92.28","93.36","102.19","100.33","100.62","100.97","107.3","99.57","91.82","98.75","93.61","94.63","103.34","102.03","101.21","92.13","95.23","95.69","96.36","96.27","97.16","98.18","91.07","92.82","",
"Botswana","BWA","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","35.75","39.97","44.16","49.29","48.79","49.78","49.92","49.74","49.29","56.61","56.61","57.75","56.48","54.1","53.78","58.17","56.82","46.35","63.01","45.4","58.74","63.68","59.26","66.86","63.84","62.5","55.18","55.24","58.23","64.19","109.15","101.19","94.43","92.22","110.33","98.5","96.38","93.95","85.9","97.33","103.39","89.81","92.83","98.94","101.35","99.71","102.63","107.71","114.16","125","137.64","128.77","129.34","128.96","114.7","119.04","",
"Central African Republic","CAF","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","14.34","14.75","15.24","15.5","16.28","16.47","18.38","17.4","19.07","20.23","21.25","21.45","22.22","23.11","25.01","24.61","26.18","28.5","27.67","30.56","32.59","34.99","38.5","39.18","42.28","44.14","50.96","54.09","55.36","56.3","58.99","63.27","64.51","65.27","68.46","80.56","73.19","74.43","75.51","91.39","83.8","87.7","85.06","91.44","102.83","105.73","111.53","112.61","115.01","119.37","125.66","127.55","128.72","127.32","127.85","128.28","",
"Canada","CAN","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","46.59","46.41","46.91","48.91","52.26","51.93","52.08","53.4","52.69","54.53","54.36","54.95","53.66","54.06","55.33","57.94","58.88","57.99","57.39","60.31","60.67","62.71","62.19","63.67","64.85","63.78","63.45","66.78","67.03","68.1","67","70.68","69.61","71.33","74.78","79.68","81.94","86.13","88.09","89.04","94.07","98.31","91.82","97.82","101.72","100.47","102.54","101.35","97.21","97.34","95.5","88.62","85.58","85.7","83.07","83.25","",
"Central Europe and the Baltics","CEB","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117.629145428633","111.802757605413","103.070420533251","101.281460247728","102.130302149372","100.923839057337","102.557358985585","101.353038125467","98.4929812123076","97.2119591545128","99.124794608365","100.858209533296","99.1617316365236","99.1796073434876","100.022996345263","102.623347753336","99.1449207752732","99.2429792092675","98.0713255589534","97.8544937276662","97.5324955929494","96.6334528152573","96.7676443028347","","","",
"Switzerland","CHE","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","72.23","73.78","73.8","73.3","76.58","78.27","82.63","85.58","83.83","85.26","86.22","88.6","90.22","94.16","93.58","98.39","99.14","99.2","103","105.21","103.54","104.73","105.2","106.66","106.8","107.53","105.28","102.95","105.41","103.95","105.9","103.17","101.92","99.26","101.72","98.75","97.28","101.46","98.26","97.36","100.19","100.74","99.93","99.74","99.34","100.92","101.89","104.04","105.13","106.96","108.05","107.52","106.65","107.59","107.64","106","",
"Channel Islands","CHI","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","25.05","26.51","27.98","26.01","28.45","30.44","30.86","34.48","35.37","36.96","31.93","26.63","26.38","36.84","39.47","37.5","35.73","35.59","37.41","40.1","44.62","43.83","42.21","40.55","40.17","42.06","43.71","46.6","50.59","55.08","55.67","57.34","63.11","68.56","72.97","75.22","79.11","81.96","80.31","82.82","88.7","87.43","87.74","94.15","98.04","107.81","108.68","112.96","108.15","108.67","112.25","117.43","111.73","111.84","111","110.55","",
"China","CHN","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","4.32","4.88","6.64","8.05","8.97","9.62","10.05","10.01","9.94","9.95","11.18","12.2","12.4","12.49","12.94","12.93","13.11","14.19","16.63","18.6","19.36","20.67","21.54","24.89","27.34","28.91","31.57","35.27","37.16","40.11","44.24","48.06","53","59.3","64.97","68.44","70.86","76.34","79.29","84.04","85.29","88.08","92.96","95.8","100.34","103.86","107.7","111.92","115.77","119.11","119.84","124.7","126.48","127.06","128.01","130.43","",
"Cote d'Ivoire","CIV","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","29.11","29.35","29.75","34.94","35.24","35.6","38.56","39.3","39.77","40.14","42.86","43.44","44.29","47.76","48.72","49.77","53.41","55.13","55.83","58.39","63.17","65.35","67.72","69.4","68.33","71.98","72.17","74.54","77.21","80.85","79.18","80.79","82.32","79.64","80.28","78.09","82.82","83.94","85.33","87.75","89.87","92.38","94.47","99.02","99.66","101.32","104.61","108.27","112.47","116.76","116.13","125.78","130.12","131.82","131.92","133.23","",
"Cameroon","CMR","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","25.16","25.15","25.88","24.93","26.15","27.92","29.28","30.71","30.97","34.24","36.24","37.37","37.01","37.3","38.04","40.63","42.37","43.94","45.37","46.12","45.03","46.77","47.73","54.11","55.88","58.83","62.88","68.03","70.4","73.68","75.08","75.1","77.87","75.02","77.41","80.6","78.74","81.63","89.26","87","90.92","89.63","88.66","97.03","99.41","103.56","104.43","111.25","110.19","114.2","119.77","120.74","124.01","125.23","125.23","125.4","",
"Congo, Dem. Rep.","COD","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","81.08","81.42","81.57","83.04","78.44","78.57","79.11","79.28","79.7","81.29","76.2","76.09","81.34","81.87","82.06","82.65","82.78","81.04","82.31","82.34","83.32","84.26","85.76","87.53","89.47","92.18","95.15","96.87","99.82","99.25","96.05","100.06","101.07","102.37","100.38","101.8","104.1","104.76","102.78","101.81","100.45","98.86","99.06","99.44","100.4","100.17","100.34","100.63","102.69","103.31","105.65","106.62","106.69","106.78","106.4","106.41","",
"Congo, Rep.","COG","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","26.31","26.98","28.11","28.38","28.28","28.34","27.96","28.95","30.06","31.02","32.7","33.08","33.14","33.52","34.45","36.67","36.81","40.51","42.32","41.94","43.21","44.5","45.57","45.85","47.18","48.85","49.6","49.93","49.66","51.01","52.49","53.55","55.21","55.95","57.29","57.96","60.24","65.57","68.06","69.48","72.02","74.69","81.21","88.39","101.34","110.26","118.94","127.62","132.95","145.64","162.37","170.7","161.72","166.38","171.67","177.07","",
"Colombia","COL","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","28.45","30.28","31.15","32.01","33.08","31.69","31.88","32.64","33.94","36.22","39.15","38.03","37.07","38.73","41.88","46.23","46.25","45.68","48.37","48.19","51.24","51.39","48.3","50.94","51.72","53.42","54.32","59.71","64.17","69.1","71.38","67.28","69.34","73.18","79.65","79.72","81.45","85","82.33","86.1","87.92","89.01","89.27","95","98.43","106.56","108.63","116.23","106.18","106.11","110.27","117.18","121.46","122.31","122.32","115.61","",
"Comoros","COM","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","36.45","39.11","41.77","44.4","47.01","49.71","49.59","51.78","52.68","52.76","55.02","60.64","64.94","67.37","69.5","72.42","74.5","77.06","66.55","65.76","64.99","64.86","64.36","64.66","63.43","60.54","62.68","64.9","66.09","63.61","92.42","94.16","96.49","98.85","98.64","99.59","97.61","98.74","101.71","99.37","105.07","107.9","97.43","98.76","99.62","101.62","105.1","105.95","108.51","110.92","113.26","112.83","112.92","108.42","108.87","109.39","",
"Cabo Verde","CPV","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","10.23","10.26","11.36","12.15","13.11","14.04","14.25","15.15","15.56","16.04","16.34","16.13","16.38","14.28","14.48","14.44","16.01","17.37","17.89","19.25","22.26","30.42","23.33","22.88","30.93","35.24","40.13","48.86","48.82","51.31","54.47","82.44","84.29","67.42","92.8","63.58","76.6","89.06","90.8","84.65","88.94","88.91","87.61","94.89","101.08","104.03","110.13","110.47","121.49","115.27","74.01","75.51","77.63","76.86","78.9","81.59","",
"Costa Rica","CRI","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","20.23","19.48","22.47","23.92","23.5","21.59","23.19","26.55","27.99","29.96","32.14","33.25","33.46","35.78","43.85","50.28","52.09","49.43","53.47","52.08","53.59","48.05","50.23","53.45","62.47","62.21","65.15","64.68","66.38","71.08","75.95","72.93","73.05","80.95","86.51","86.24","83.65","85.17","91.35","91.35","91.63","91.41","93.63","94.12","102.44","103.44","110.32","114.03","118.36","120.54","121.53","122.34","123.21","123.55","124.8","127.21","",
"Caribbean small states","CSS","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","26.9098310698793","26.949383872339","27.5844953679741","29.4542076622791","30.3017299295257","32.9128648441225","35.6888906945616","37.4726809794308","39.9880521882618","41.0724591884999","42.7255645273793","42.6032169739134","47.4671659131307","47.7533479663048","51.0339369304629","52.7167316456221","54.3625724799915","54.9814703692346","53.2334447568297","53.8074540844007","54.1913808814124","55.7607602017287","57.2620486066785","60.3092439409699","56.050743567062","57.1298886869033","60.5493133953797","60.023531458784","58.1594997694782","74.3763937158109","72.4082016113136","73.5715616331576","71.1890725855857","69.6782385440144","72.004478556782","76.504793530049","76.2487591914939","77.7846215639629","82.7313244103813","83.6033442898134","88.185980703473","94.7538911769865","99.9987278162033","100.240680736529","101.514141429841","96.5634795195585","101.088788514084","100.614416949801","104.635139056249","104.8608829522","105.425801202975","109.590873857412","110.095192836776","109.50757744934","","","",
"Cuba","CUB","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","98.06","103.93","108.93","116.89","122.62","127.02","133.95","161.71","161.27","156.38","152.32","153.97","146.26","137.15","130.17","147.57","161.42","162.02","161.18","165.55","176.19","170.56","176.98","181.66","184.14","186.92","184.29","186.08","188.55","185.49","152.01","119.83","113.67","119.19","117.98","121.56","110.67","118.64","125.67","124.67","117.94","109.35","107.32","103.13","95.77","101.09","125.2","135.46","136.96","136.16","140.01","137.93","144.08","143.94","137.23","144.9","",
"Curacao","CUW","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","218.91","218.91","218.91","221.72","221.72","224.53","224.53","224.53","227.33","227.33","230.14","230.14","230.14","232.95","235.75","238.56","238.56","238.56","168.4","168.4","179.62","168.4","250.79","314.12","192.36","138.72","108.52","100.07","109.32","102.6","101.59","100.78","100.14","99.64","99.28","99.01","98.82","98.67","98.95","102.51","98.54","99.14","98.41","97.69","103.07","102.39","101.71","101.02","100.34","99.5","98.67","",
"Cyprus","CYP","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","16.8","17.59","18.71","19.33","21.81","26.27","28.92","31.79","37.19","40.32","45.82","48.12","50.44","38.96","27.05","31.03","33.31","37.44","38.57","38.89","41.71","45.43","48.9","53.81","55.95","59.33","62.99","65.66","68.85","69.82","70.42","72.98","81.6","86.07","90.82","93.29","99.56","97.23","100.88","103.95","106.31","109.64","109.09","105.39","101.14","93.47","95.66","101.26","96.67","95.52","97.71","94.75","88.77","89.21","89.8","88.86","",
"Czech Republic","CZE","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135.52","114.25","114.67","112.38","109.76","113.62","108.16","104","107.22","104.88","101.79","104.42","99.67","95.91","101.87","97.65","95.27","91.78","91.53","88.67","85.5","85.47","86.85","87.62","",
